Text,IsNationalist
i can believe whatever i wanna believe i do not care what any of them have to say bassem masri you are an idiot,False
bassem masri is a terrorist part of isis,False
i would nt waist my time trying to reason with this police spitting thug trying to defend criminal brown is a losing matter the grand jury has made they are decision live with it,False
i wish mr masri was dead,False
thus with a collapse of the usa only two possibilities can be considered whereby with the one it boils down to a dictatorship with evil reprisals while the other possibility may be a new reconstruction if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start but whether this will actually occur is currently extremely questionable because presently in a totalitarian manner everything is directed towards interests which are economic military political and cultural as well as towards that which is strict fundamentalist religious sectarian and based on enormous lies and devious misanthropic criminal and felonious machinations in every imaginable regard this also means that the population of the usa is spied upon by the secret services and even severely within the neighbourhoods and so forth and in every possible manner being restricted in its freedom and this is in addition to the violence as it emerges in some form or other both openly and covertly,False
you actually can shout fire in a crowded theater christopher hitchens demonstrated this in his talk about free speech look it up the interviewee is correct cops serve the public not the other way around and it is consistent with serving that public that the police department represent that public race and ethnicity in its ranks hire a bunch of big tough black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager,False
i think he kill him,False
legalize marijuana then problems will stop,False
1 word provocateur,False
lol this is what happens when the greedy rich slime keep the masses uneducated ignorant now deal with the stupid that you created trying to reason with the irrational is an exercise in futility get the popcorn ready bc it about to boil over if you fall for the talk you will fall just walking,False
the legal system is inherently racist same as this cnn reporter,False
he looks ready to cut heads off he must be a isis sympathizer and i am going to say maybe 5 care about the issue at hand and other 95 just want to go loot stores and fuck shit up,False
lol shoot to apprehend he is an idiot,False
this case has overshadowed the cops that murdered a kid with a fake sword in saratoga springs utah i am just as much outraged by the mike brown case the murder that happened in utah was just about the same deal cops are provided with non lethal weapons the shooting in utah unwarranted because he ran do not know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then he ran and was shot 6 times in the back we know a large group of cops are corrupt and these murderers are nothing new though i have ran from the police many times when i was in my teens cops just pursue and find him hiding some where not just put 6 bullets in the back ending a life they said in some paper saratoga springs has about 5 of black population i have been through there and i would say they were off by about 5,False
this man is a zionist jew look at ypu can see the jewnesss in his face cnn only employ zionist sympathisers and neo con racists and wolf blitzer is the emplpyeee,False
there is blood on the street but you are worried about words we are all getting very tired with the way mainstream media is treating us like idiots who will follow their condescending irrelevant distracting disparaging narrative step up cnn,False
stop being criminals and you wont get shot that simple,False
i like turtles,False
massri needs an education,False
cnn mother fuckers fuck you peace of shit,False
hers my statement i think ali sheep butt fucker masri should take an ak and go fight in syria,False
hahahahaha this guy is ed bassmaster character always teste ed bassmaster has a semi retarded character who is cross eyed just like this guy,False
how do these childish cops sleep at night,False
a completely idiot having his minutrs of fame,False
i hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they are giving you,False
cnn is such bullcrap,False
alright this entire case is crap all of these people who are saying that white people are being racist and calling them bad names is just as racist as you would like to call it as us there have been extensive investigations that prove that this boy death was out of self defense however i am not defending the whole kkk thing but i am defending the helpless citizens of ferguson this boy died i do not care if he was white or black what i do care about is how the people in ferguson are treating their town if they really cared about this incident they would hold memorials to express their feelings this is not helping themselves get justice what really matters is that this boy is dead something has been done about it the grand jury has decided can it just be over,False
this guy does not know what happened he did not have his hands up,False
ayy cnn are lookin like pussies,False
smirconnish is the most even handed guy in the world this guy masri is an idiot,False
masri is a total idiot i do not have to know the evidence i can just come to my own conclusions instead here is a clue dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh so what would masri do take brown out for a icecream as he is beating him into the ground and not defend himself btw browns momma and gramma violently assaulted some people who were selling t shirts in memory of brown and put two people in the hospital stole their money and trashed their shop and will probably be charged for it so we all know what sort of mentality brown was raised in and he was a thug wanna be who caused his own death,False
he had to take a break because bassem was making too much sense for him to debate further,False
let reverse the rolls black racist cops in rich white communities but you cannot prove there racist when a white man gets pissed off at this intolerable condition we unload several clips of high caliber ammo at point blank range for his audacity at questioning authority all americans need to be on full alert of this elitist agenda to set presidents of questioning authority the elitist upper class is the problem prison culture cia drug cartels exporting jobs and importing cheap labor while the elitist get bailed out and support this corrupt system we can turn this around when we c get past the race issue the govt incites to divide the working class but you can hardly call it a working class because the govt put everyone out of work we are more of a homeless class let us not for get western history and the role big money plays in this clusterfuck designed to destroy a nation that is destroyed at this point we can get it back ask me how,False
this moron is talking about being peaceful their burning the nation flag idiot even though that what you are suppose to do when it old so they have no knowledge they are babies making noise,False
this is a cia agent provocateur operative to kick start the riots of the new american civil war he not african american but his rehearsed ebonics is transparent,False
can someone shoot this black idiot too that would make me giggle inside,False
you people are sick this man is speaking the truth and y all are just mad trying to justify why a young boy who did nothing was shot and killed smh y all are the devil and a disease to this earth i will be glad when the sun burns all your asses into extinction and we can have our planet back half animal half devil cave beasts,False
the world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,False
cnn is propaganda for the most part and people let them hear it in ferguson too,False
what a waste of time talking to that idiot you know what im sayin i will believe what i want to believe yup hell with facts or evidence loser,False
news fucktards puppet players all they are paid liars,False
bassem has the right to express himself we have freedom of expression we all have that right its an amendment of the constitution i dont think cnn is that competent after all,False
does this guy riot before or after work orrrr let me guess he fucks off all day doing nothing,False
mr masri is 100 right could not say it any better myself,False
can anyone tell me why it is racist if a white man shoots a black man is it not racist when black man shoots a white man why do these cases turn instantly into racist ones it makes no sense,False
racial profiling and police intimidation he robbed a store and got killed as a result fucking excuses man black people should not have to get arrested when they commit a strong arm robbery when black people get violent they should not have to fear getting put down like an animal he actually said we should not have to worry about warrants lol fucking piece of human garbage,False
wrong mother fucker no shoot to apprehend,False
black and white crimes seems to be big topic in us after ferguson case i just came here to brag about finnish cops that used firearm 6 times last year 2 time towards human 2 times to warn 2 times to kill wounded animal 5 million ppl here and 0 5 gun per capita,False
and the heading reads when the protesters take it too far,False
this muslim man does not have anything in mind of peace he wants to stir up dissonance and trouble among americans by using racist accusations that is his man goal,False
add another imbecile to the bunch reporter is a incompetent bastard,False
this interviewer is right this guy should show some respect to the paramilitary police that are killing and getting away with it ha,False
you all are some dumb as people,False
bassem i think walmart is hiring for the holidays get a job loser,False
teen faces life in prison for pot brownies 90 year old man gets arrested for feeding the poor police officer is set free with no charges whatsoever for killing a teenager do not you people see how wrong this is,False
you know what i am sayin wow,False
yeah you are right 1 white shot a black all hell break lose black shot black no protest maybe if they start doing protest on black shotting black you can buy in thier story,False
lets steal from a convenience store then lets go and punch a cop in the face and get shot 6 times then lets get all the black people and white apologists to run around the street setting buildings on fire fucking dirty gutter rats all living on welfare and causing violence just look where the rest of black people live on the dirties ebola plague ridden continent lucky white countries can come over and cure their dumb asses,False
i am with this dude fuck the punk police,False
what a stupid arab police shoot to apprehend lmao that not how it works when they are being attacked,False
5 09 plain n simple truth,False
lmfao why is this dude taking like that _ i hear him talking but i do not know what he saying smh,False
i do understand their anger but war is not the answer,False
iz did not do nuffinz,False
what an ignorant coward full of emotion estrogen and apathy and where the hell did you come from fuckin racially ambiguous blackwashed loudmouth they really chose a pathetic man to interview,False
that motherfucker was angry and i understand why,False
let get this straight and present the facts as the mass media should have from the beginning 18 yr old by all legal aspects an adult robs a convince store the criminal later flees the seen and is aprehended by the police resists arrest and altercation occurs between the two the police as in every case similar to this uses force criminal is killed the killing goes to court a randomly selected jury views all the evidence and hears out all witnesses which pertain to the case radom jury reaches unanimous verdict of not guilty im sorry protestors i cannot here over all this democracy,False
do any of these protestors work for a living where do they get the time to do all this,False
if people would obey the law like normal human beings this would never happen winner,False
no indictment moving right along,False
if you act like animals you get treated like animals,False
michael smerconish hack,False
sure they totally looked at factual evidence during that trial more like special treatment but hey we all knew that was going to happen did not we,False
you tellin me if he did in fact steal swisher sweets is the value of his life just admit you all are racist quit being a bunch of faggott bitches,False
proof blacks are not victims 1 statistically cops kill more whites than blacks yet whites see them as necessary because they save more lives than they cost while places like ferguson lose their minds 2 statistically 93 of murdered blacks are killed by other blacks with whites consisting of 3 of the murderers and 4 being the other races 3 whites were enslaved by blacks first and for over 150 years this was when europeans the same race that started america and later enslaved africans began searching north africa to establish trade of goods between natives from the 1520s to the late 1600s whites were enslaved first later the tables turned this boys and girls is called karma 4 statistically over 50 of murders in the us alone are from blacks despite them making up only 14 1 of the entire us population while despite whites make up 63 of the us population they only make up 46 of the murders 5 whites make up 38 of welfare recipients with blacks making up 39 this does not seem extreme until you realize that 39 blacks consists of that 14 1 whith that 38 whites making up 63 of the us meaning each individual black person is about 5 times as likely than whites to use welfare,False
white man cannot finish his sentence america needs to wake up the truth of murder is there,False
i will be sure to avoid getting in this guy taxi cab,False
fuck media bassem was right find something real to investigate you are just exaggerating because you want more views and more money fuck you selfish fucks these people are disgusting i do not know how they bare with their nasty selves,False
cnn youse guys going too far i will tell you what you doing so that bad is going to happen very bad it all going to benefit you i do not care how much money you have ellen and better for you to be like all the rest was be careful what you put out there you put russia in between this be careful we have kids,False
this guy here he needs to grow up,False
shoot to apprehend easier said than done when the evidence was presented michael brown was still attackin darren after he was shot twice people have this misconception like in the movies that one gun shot anywhere to the body will disable an attacker this is a false belief there are cases of people still attacking or running after they have been shot 2 3 times for god sake 50 cent was shot 9 times and he alive when you are being attacked by a 6 ft 3 200 somthing pound person and you are on your back it hard to say i m just goin to shoot to apprehend had michael brown copnducted himself like a gentleman this would not have happened he was an aggresive piece of shit and this muslim shit head is not any better he filled with rage and does not have the answer for anything progression comes from tolerance not violence,False
it not about just brown it about daily killings of non whites by white cops and that a reality,False
how was this guy hired what an idiot,False
this guy is a moron,False
cnn so out of touch close up idiots people are watching for the comedy of reporting lol,False
bassem masri is a criminal a thug and a psychopath he has no credibility and no humanity he needs to be locked in a jail cell time for the rubber room and straight jacket for bassem get his intellectually dishonest butt out of the community,False
cnn this is why you are a joke,False
i wonder what the police expect will happen when they continually abuse and kill people do they honestly expect the public to do nothing about it to just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence even a rat when it cornered will defend itself,False
i do not want my sons death to be in vain let burn this bitch down stupid fucks destroying livelihoods peaceful protests my fucking ass,False
this guy is my hero,False
did he say that the sound of him spitting is an arab expression,False
wow,False
i think that this indecent is unessacerry for the event of one person being shot mr brown stole something so it was not intirely the police officers fault,False
this is a genuine failure of leadership by the president of the united states this nice town ferguson should have been declared a state of emergency it should have been put under martial law federal troops should have stuffed the town and non residents should have been pushed out everyone knew there was going to be another riot but what did the president do he did not want to offend the black community he did not want anyone else to get shot so he just let er burn baby burn seems to me that a real leader could have had it both ways mr president sir you have failed reprehensibly and i do accuse you,False
anyone know if they are irradiating commercial strawberry seeds mine wont germinate,False
arabs hate black people this isis sympathizer just wants to call it his community nonsense,False
i cannot for the life of me understand why people think that mike brown was a martyr for some cause the man was a criminal are all black people criminals absolutely not are there white criminals hispanic criminals you betcha if the situation was exactly the same but the races were reversed there would not be an issue at all,False
well done,False
old mans way has been tried forever and how well did that worked look where we are now,False
3 44 u no wat im sayin,False
without that badge they a bitch and a half so fuck the police,False
this arab piece of shit acting like he gets harrassed he or his parents own a store and yet he acts like he gets treated like black people lol the same people who steals from his store what a moron piece of shit,False
it people like this guy that makes america shake it head nawamsain no the fuck we do not,False
police brutality affects everyone it not just a black issue and when they made it a black issue that when people who are not black tend to stop listening end racial profiling as if police do not fuck with everyone police do not care what color you are if you are not a policeman they will fuck with you if you look on youtube you will notice the brutality does not discriminate so stop it with this racial bullshit because if you want cops to finally be held accountable for their powertripping actions you need to realize that playing the whole because i am black and only black and black card makes people who are not black feel less sympathetic because every race here has had issues with them,False
christians rock,False
the only good cnn anchor i have ever seen,False
islamic terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people,False
fuck cnn you corrupt demon worshiping fools,False
this guy is a dumbass he claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims,False
mike browns father does not buy into it he got caught on video saying burn the bitch down reffering to ferguson and this dude you are interviwing is just a thug and should not be given air time,False
brown isused as an excuse to loot take peoples shit and destroy neighborhoods haaaa typical ghetto bullshit ya ai not even hood ya just ghetto bitches collecting free rent from the govt while fighting the govt same occupy wall street fagets have nothing else to do go clean the highways,False
wtf is not this the guy who got mugged for his iphone 6 in ferguson that video was hilarious,False
what does trayvon martin and michael brown have in common the real reason behind the riots that no one dare speak of as with the zimmerman case the common factors here are those race mongers like al sharpton cnn and msnbc whipping up the black community to see racism where there is no racism and injustice where there is no injustice give it a year or two and i can promise you there will be another zimmerman or michael brown style case but the bigger question is why will there be a similar case because rather than face the real root cause of many of the problems suffered by black americans poverty high crime the high black on black murder rate it is far easier to turn a blind eye and point the finger and shout racism so what is the root cause of black problems in america if its not racism the root cause is the break down of the black american family and the high number of fatherless children growing up in single parent homes the governments own statistics reveal that children born into fatherless homes are more likely to drop out of school more likely to have a history of unemployment high chance of poverty and more likely to serve time in prison the list goes on and on when we look at the fact that 70 of black children will grow up in a fatherless home compared to 24 of white children we see a number that begins to explain why black poverty and black crime is so high amongst blacks in america with 70 of black mothers on welfare complied with a dysfunctional gangster rap culture that glorifies promiscuity drug dealers the abuse of women and the power of the gun we see a problem beginning to emerge and the reason for the deaths of trayvon martin and michael brown begin to come clear black americans a 13 minority are doing 54 of the dying and probably 54 of the killing that needs to be said so now we have black culture of violence financed by the welfare system conclusion like i said there will be another race based case sooner or latter in fact it will never end as long as race mongers like sharpton cnn and msnbc continue to promote the idea that its all about racism rather than the disintegration of the black american family another ferguson is just around the corner,False
how many shots to disable one man if the officer felt so threatened was there a call for backup how many shots before one man cannot continue to threaten another with the transcript of witness evidence released there seems to more questions unanswered than answered i pray for all involved that they might find some peace from a terrible encounter amen,False
my thought of this waste of skin catching his just desert at 3300fps would not make me a popular guy with the no free people allowed party but i do not live on the bookends of this country the rest of you libshits would do yourselves justice to know the majority of real americans despise you in every way know it and own it every day you continue to exist is because ying must have yang motherjumper,False
wow an a hole that makes a cnn interviewer seem reasonable and balanced,False
never argue with an idiot,False
so ratchet lol,False
stfu you muslim piece of shit the cops should have fired ten rounds into his ass or better still lets cut his head off and pour pigs blood down his throat i am willing to bet it was them dirty fckn islamic bastards that set those fires and not even the blacks that did,False
i made a song addressing ferguson and the issues today please listen and thank you tha bigger picture soundcloud listen to tha bigger picture by kool d np on soundcloud http soundcloud com derek savage 3 tha bigger picture,False
michael smerconish is a little bitch i like how he subtly tries to insult the guy and the guy laughs at him this really shows how low cnn will stoop and what a garbage hole cnn has become and what a piece of ass sucking work michael smerconish is i guess it is no wonder why in my home we do not watch cnn crap news network,False
no thanksgiven or christmas for all the owners of the business that were looted stole from burned out for no good reason and none for years to come these people did nothing except serve the same ones that burned them out may god have mercy on you i would not,False
the grand jury amd processor have too much power in the justice system amd connections with other police departments that what i am sayin honestly,False
they are protecting and serving us from people like michael brown the guy deserved to be killed cry more about it,False
if that cop shot a white guy there would not be any riots but since he shot a black guy everyone seems to think it was because he was black look at the evidence not skin color everyone always throws out the race card over crap like this,False
i find it amusing how all of these protesters claim they are fighting against racism but yet they are blind to their own racism there have been several reports of black people attacking white people just a couple of days ago it was reported that a white man was beaten to death with a hammer by black teens in st louis yeah clearly no racial intent there fucking hypocrites,False
excellent they would media slaves have us wait to speak out so this gets lost into the next tragedy there a travesty happening here that been going on since thee origins of usa nøbody is free thee illusion is real so is thee struggle we are experiencing the collision of this experiment psychological warfare through attrition in typing that always be aware of baiting do not allow them to create helter skelter,False
michael brown rob a store assaulted the store owner then fought with a police officer darren wilson in and through the police window went for the officer gun then was shot and killed brown did not have a shirt saying i am not armed this is what happens when you do criminal activity regardless of the color of your skin a linch mob mentality should not get there way or public pressure when all the facts support browns activity of the day some wonder if brown wanted death suicide by cop for his family could sue,False
this fucking fuck cannot even defend himself properly what a joke,False
wow think i am going to buy a bullet proof vest shit if your black it like everybody is tryin to shoot you,False
if a black officer shot a white guy it would be fine by black people i am not a racist,False
this delusional moron anger is only justified if mike was indeed unjustly killed if on the other hand mike was a malicious person and the shooting was justified then all the rioting is not justified no one can know what happened there that day so any riots are taking place on the basis of assumptions,False
omg it a terrorist an isis undercover agent what are you doing americans arrest him,False
keep letting real people get in front of the camera the truth will be told in its purest form,False
criminal kids get shot by the police almost everyday plus mike brown has a bad criminal record and started the fight,False
the city is full of really really really dumb people cannot try to reason with them,False
this is not your counties go back to he middle east that your counties b,False
people get shot everyday how come this is the only one thats getting attention,False
why is it that in the history of mankind where people of all color creed and cultures have found a way to rise out of the ashes of oppression for their self betterment and self preservation except for the blacks why please enlighten me to this unknown phenomena,False
what a fucking douche bag,False
cnn needs to hire that man he is a real american we are in trouble,False
one feral hoodlum put down the rest of us no longer need to fear his thuggish behavior upset about that blame his parents they failed to raise him right and provide proper supervision or he was just defective from the start either way sounds like a case of quality control to me thank you officer wilson for doing your job,False
the us government is killing its population,False
fake cnn is bs,False
we need to get back to basics when these savages riot or protest use the german shepard then shoot these animals,False
why the hell are they even interviewing him this guy such an idiot,False
oh my god i fucking love that arab guy such wise words he is seriously someone who has open eyes to the world he sees things for how they are which is so rare in our world today a big fucking amen to that guy wake the fuck up america,False
mr smerconish you sir are not a journalist no journalists say or claim to the interview object that he she is searching for 15mins of fame just for being a part of the interview and or just because he she did not speak in the direction you wanted them to if anything it is you trying to defame a person and that is illegal and you should definitively serve time for that you should go back to school because it is truly obvious that you do not handle the word of mouth with care nor are you critical enough of the authorities why would you wait for tons of paper that shows what we all know that he indeed ran stopped hands in the air and got shot multiple times there should be no doubt from your side that this happened if the witnesses says so there should be however an investigative journalist who goes out and ask the people your opinion is not superior get off your chair and go out and do some real reporting shame on you and shame on cnn for not hiring professionals,False
that arab is rapping 3 14 go ahead bro lol so getto he is,False
is not this the dude who got knocked out and had his phone stolen in ferguson,False
bassem masri is an uneducated idiot just listen the words coming out of his mouth he sounds like a stupid little kid sorry but please grow the fuck up and learn the laws instead of repeating freedom of speech i am a citizen go ahead bro i will listen to you somebody shut this guy up,False
do white children deserve to have a future tens of millions of non whites flooding into white countries every year will in a few decades mean that whites will be a minority in every country they founded black countries will remain majority black and asian countries will remain majority asian only white countries will be affected by this this is genocide under international law but anti whites don t call it genocide they call it diversity diversity means chasing down every last white child anti racist is a codeword for anti white,False
bassem masri well said bro,False
this guy an idiot if that the best you can do you have lost already what a bozo,False
he can go back where he from period big mouth moron,False
muslims like to spit on white people brought in by muslims or nggrs i still wait for my big plasma cheap tv looted in some shop,False
yep a muslim bitch,False
masri is unemployed,False
wait if they are in an area that has a majority of african americans does not it make since that the majority of people pulled over and searched or arrested in that same area would be african american as well,False
this video is liberal propaganda used to further divide people and fuel the chaos in ferguson stay tuned for a trial with facts before deciding that evil white people are the source of all problems and i mean straight up watch the trial no fox news cnn or msnbc,False
the ugly truth if you talk like a thug act like a thug walk like a thug and live like a thug then you will die like a thug live by the sword die by the sword do not hate the player hate the game this was not an innocent little child just walking down the street who got shot in the back if we cannot blame the parents then we must look at the individual who in this case was an adult what kind of music did he listen to what kind of videos did he view who were his role models how did his environment affect him who were the enablers who did he associate with but most importantly when will he be accountable for his own actions unfortunately on this day he chose the wrong pathway to his fate you cannot rob a store and call it shoplifting heck you might as well call it borrowing without permission this was not his first crime and there were probably many unrecorded not caught negative actions by mike brown mb you cannot assault another human being without consequences or should we say he was just playing it was no big deal or it was childish get real folks the riots looting attacks and threats has nothing to do with mb it has to do with a culture who feel they are entitled and will use any excuse or propaganda to find any excuse to commit crimes in the name of no justice no peace hands up do not shoot please this culture needs to stop pants on the ground pants on the ground looking like a fool with your pants on the ground hat turned sideways gold in your mouth looking like a fool with your pants on the ground let me say this is not about race this is not about lack of justice justice naturally in the street will usually end in tragedy this was the result of an immature with no respect thug who believed he could use his size to intimidate he probably did it in school and we know he did it in the street real parents or those around them would have not called what mb did childish that was not nor is childish behaviors his behaviors were felonious and criminal and to be frank would have probably cost him his life elsewhere at a different time real parents would have stated this was my son what he did was wrong in this store and to the clerk if in fact the evidence shows my son assaulted this officer and posed a threat by going after the officer before the shots were fired then may our son rest in peace as his actions we do not condone but this consequence was just due to his own choices and actions we unconditionally love our son however we also forgive the officer we apologize to the store clerk and we hope as a family and people can move on only to learn our actions and how we live dictate our consequences be it positive or negative we would also like to support alternate methods in the event this does happen again using non lethal weapons such as rubber bullets taser mace etc and to those who truly support change no silence no violence there is no sugar coat here as a human as a race we need to be accountable for what we say and do lastly if the officer was racist and he did shoot mb without rhyme or reason or if he in fact just targeted mb dj because they were black and decided to gun down mb in the back and front even though he surrendered peacefully with his hands raised then i would side with mb and those who support the cause but unfortunately the evidence thus far does not support the above paragraph question 1 would this still be the reaction if the officer were a female question 2 would this still be the reaction if the officer were black african american question 3 would this still be the reaction if mike brown was gunned down by a peer of his own race question 4 would this still be the reaction if mike brown were white question 5 would this still be the end result death if mike brown was productive at home work or school other than running the streets to the people nothing in the world is more dangerous than sincere ignorance and conscientious stupidity martin luther king jr i think it is safe to say we are living in dangerous times because of this simple fact proving this martin luther king jr quote unfortunately it is coming from his own race and those supporting a lost cause to the people who cry wolf mj please repost,False
people say blacks play the victim but according to the comments its our fault that the elected officals are racists whites had a good thing going in missouri but they had to be racist all white folks do is point fingers take these punk bitches out of power we goin back to racism deport everyone else,False
protest was converted into riot because majority of people wanted it do not be fooled by politicians they play serious games with common man take care everyone and save humanity peace,False
worst testtube video ever some of the inequality is by choice white flight and or via change in demographics etc but the remaining residents do have a say they vote and can put up their own nominees and go to city council meetings and put their grievances before the councilmen etc besides if this is the supposedly post racial era in america what does the race of leaders matter oh btw the title asked what really caused the riots seems from most accounts the answer is out of town lawbreakers,False
that punk did not get blasted for no reason if that cop did not shoot him someone else would have,False
a lot of people and the entire media is missing this huge crucial point why was micheal brown even stopped in the first place the day it happened the officer said that it was because mike brown was walking in the street then a few days later it was because he had robbed a convenience store despite the fact that owner himself says that his store was never robbed the officer was apparently in fear for his life the pd claims he was seriously injured in the altercation with mike brown even though there is a video showing the officer perfectly fine standing by mike body an hour after the shooting also mike body was 35 feet away from where the officer was when mike apparently charged at him man the police are full of shit if you cannot see that this shit was made up then you are either a bigot or just a fucking idiot,False
you can say black this piece came off a bit stiff due to the repeated use of african american,False
i live in st louis and it scary,False
ferguson just like any american city is not a prison if those or any other residents feel that are mistreated discriminated against or subjected to illegall search and seizure then my advice is move our country is vast and i am confident they can find somewhere in our great nation where they can find a place to be happy and successful,False
i do believe that the correct word is caucasian not white let be correct in every regard great report though i love the videos,False
in france when i was in the military they taught me that we could use a lethal weapon only if the other uses a similar equal or superior lethal weapon against us or against another to defend ourselves using a superior weapon is not never allowed i think that a noble french concept b,False
perhaps you should start teaching blacks that law and education is important instead of treating them as special snowflakes,False
while i agree with most of your report and i certainly think that the events that went down in ferguson need to be investigated your statistics to support a targeting of a particular race by number of stops and searches can certainly be explained away by the fact that most of the population in that region is of a particular race given a greater opportunity that someone who is stopped is most likely going to be of that race i think further analysis would need to be conducted to make that collation i am not saying race is not a factor i am saying statistics can be misleading and need to be considered thoughtfully before stating them as support for a statement,False
its funny doctors push drugs its legal even tho prescription drugs are abused the most whereas minorities get locked up for years because of marijuana known to be beneficial to the economy the war on drugs started with the government who still supplies the streets to this day racial profiling is stupid caucasians commit the most mass shootings i do not see them being searched before they go in malls movie theaters schools etc,False
so you are implying that because most of ferguson is black but most of their elected or appointed officials are white that it means that the majority of people in ferguson is not represented at all that they mostly black population would not happen to have voted for or support the white officials and just because its median income is lower than that of mo or the us as a whole is that because its population is mostly black or is it just a statistic,False
ridiculous liberal tripe meant to divide us along race class barriers even more if blacks i refuse to use the word african american are oppressed by local government then the community should band together and vote them out vote more blacks in this is why we live in a democratic republic sorry most of your arguments are nothing more than excuses and your criminal stats are the result of a large black community 68 blacks really need to stop listening to democrats who preach a you cannot win because the deck is stacked against you oppressive lifestyle they will never rise above their current conditions if they cling to liberal excuses it not the color of your skin its the overall presentation,False
